Q2_1,Q4_3,Q5,Q7,Q10_1,Q10_2,Q10_3,Q16,Q20,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,age,education,race,gender,income,voter_category
1,2,1,1,2,2,2,1,1,,,,,,,,,,73,College,White,Female,$75-125k,always
1,2,1,2,2,2,2,2,1,,,,,,,,,,90,College,White,Female,$125k or more,always
1,3,1,1,2,2,1,1,1,,,,,,,,,,53,College,White,Male,$125k or more,sporadic
1,2,1,1,2,2,2,4,1,,,,,,,,,,58,Some college,Black,Female,$40-75k,sporadic
1,1,1,2,2,2,2,1,1,,,,,,,,,,81,High school or less,White,Male,$40-75k,always
3,3,2,1,2,2,2,-1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,61,High school or less,White,Female,$40-75k,rarely/never
1,1,1,1,2,1,2,3,1,,,,,,,,,,80,High school or less,White,Female,$125k or more,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,68,Some college,Other/Mixed,Female,$75-125k,always
1,2,1,1,2,1,1,1,1,,,,,,,,,,70,College,White,Male,$125k or more,always
1,3,1,1,2,1,2,3,1,,,,,,,,,,83,Some college,White,Male,$125k or more,always
1,3,1,1,2,2,2,1,1,,,,,,,,,,43,College,White,Male,$75-125k,sporadic
1,1,1,1,2,2,2,2,1,,,,,,,,,,42,College,White,Female,$125k or more,sporadic
3,1,1,1,2,2,2,1,2,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48,College,White,Male,$40-75k,rarely/never
1,2,2,1,2,2,2,1,1,,,,,,,,,,52,Some college,White,Male,$125k or more,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,80,High school or less,White,Female,$40-75k,always
1,1,1,1,2,2,1,1,1,,,,,,,,,,76,High school or less,White,Female,$75-125k,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,73,Some college,White,Female,Less than $40k,always
1,1,1,2,2,2,2,1,1,,,,,,,,,,52,College,White,Female,$125k or more,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,63,Some college,White,Male,$75-125k,always
1,3,2,1,2,1,2,1,1,,,,,,,,,,81,Some college,White,Male,Less than $40k,always
2,4,2,1,2,2,2,4,2,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46,Some college,Other/Mixed,Male,Less than $40k,rarely/never
1,2,1,1,1,2,2,1,1,,,,,,,,,,62,Some college,White,Male,$40-75k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,62,College,Black,Male,$75-125k,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,84,High school or less,White,Male,Less than $40k,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,53,College,White,Female,$75-125k,sporadic
1,2,1,1,2,2,1,3,1,,,,,,,,,,71,High school or less,White,Female,Less than $40k,always
2,3,1,1,1,1,1,3,2,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50,High school or less,Black,Female,Less than $40k,rarely/never
1,3,2,1,2,1,2,2,1,,,,,,,,,,77,Some college,White,Female,$75-125k,sporadic
1,1,1,2,2,2,2,1,1,,,,,,,,,,67,College,White,Male,$40-75k,always
1,3,1,2,2,1,2,1,1,,,,,,,,,,80,High school or less,White,Female,Less than $40k,always
1,3,2,2,2,2,2,2,1,,,,,,,,,,54,College,White,Male,$125k or more,always
1,3,1,1,1,1,2,1,1,,,,,,,,,,53,Some college,White,Male,$40-75k,always
1,3,1,1,1,1,2,3,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47,Some college,Hispanic,Male,$40-75k,rarely/never
2,2,1,2,2,2,2,1,1,,,,,,,,,,68,College,White,Male,$75-125k,always
1,1,1,1,2,2,1,1,1,,,,,,,,,,73,High school or less,White,Male,$40-75k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,62,High school or less,Other/Mixed,Male,$75-125k,sporadic
1,2,1,1,2,2,1,1,1,,,,,,,,,,58,High school or less,Black,Female,Less than $40k,sporadic
2,4,1,1,2,2,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58,High school or less,White,Female,$75-125k,sporadic
1,1,1,1,2,2,2,2,1,,,,,,,,,,87,High school or less,White,Female,Less than $40k,always
1,4,1,1,2,2,2,1,1,,,,,,,,,,55,Some college,Black,Male,$40-75k,sporadic
2,3,1,2,1,1,2,3,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,52,High school or less,White,Male,$40-75k,rarely/never
2,2,1,1,2,2,2,2,1,,,,,,,,,,64,Some college,Other/Mixed,Female,$75-125k,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,82,Some college,White,Male,$125k or more,always
1,1,1,1,2,2,2,2,1,,,,,,,,,,58,College,White,Female,$125k or more,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,55,College,White,Male,$40-75k,always
1,3,1,2,2,1,2,1,1,,,,,,,,,,84,Some college,White,Female,$40-75k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,66,Some college,White,Female,$40-75k,always
1,-1,2,1,2,2,1,3,1,,,,,,,,,,63,Some college,Black,Female,$40-75k,always
1,2,1,2,2,2,2,1,1,,,,,,,,,,75,College,White,Male,$75-125k,always
1,4,2,1,2,2,2,1,1,,,,,,,,,,67,Some college,White,Female,$75-125k,always
2,4,1,2,2,1,2,4,1,,,,,,,,,,59,High school or less,White,Male,Less than $40k,sporadic
2,2,2,1,2,2,1,1,1,,,,,,,,,,59,Some college,White,Male,$125k or more,sporadic
1,1,1,1,2,2,2,2,1,,,,,,,,,,44,College,Other/Mixed,Female,$75-125k,always
1,3,1,2,2,2,2,1,1,,,,,,,,,,73,Some college,White,Female,$40-75k,sporadic
1,3,1,1,2,1,2,1,1,,,,,,,,,,46,College,White,Female,$125k or more,sporadic
1,1,1,1,2,1,2,2,1,,,,,,,,,,36,College,White,Female,$40-75k,always
1,2,1,1,2,2,2,3,1,,,,,,,,,,43,High school or less,White,Male,$40-75k,sporadic
1,2,2,1,2,2,2,3,1,,,,,,,,,,56,College,White,Female,$75-125k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,80,High school or less,White,Female,$40-75k,always
1,2,1,2,2,2,2,3,1,,,,,,,,,,50,College,White,Female,$75-125k,always
1,2,1,1,2,2,2,2,1,,,,,,,,,,57,High school or less,White,Female,$75-125k,rarely/never
1,2,1,1,2,2,2,1,1,,,,,,,,,,66,Some college,White,Female,$125k or more,always
3,3,1,-1,2,2,2,-1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29,Some college,White,Female,$75-125k,rarely/never
1,2,1,2,2,2,2,1,1,,,,,,,,,,43,College,White,Male,$125k or more,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,56,Some college,White,Male,Less than $40k,rarely/never
1,2,1,2,2,2,2,1,1,,,,,,,,,,64,Some college,White,Female,$125k or more,sporadic
4,2,2,1,2,2,2,1,1,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38,Some college,Other/Mixed,Male,$125k or more,rarely/never
1,4,1,2,1,1,1,2,2,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57,High school or less,White,Female,Less than $40k,rarely/never
1,3,1,1,2,2,2,2,1,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,26,College,Other/Mixed,Male,$125k or more,rarely/never
1,1,1,1,1,1,2,3,1,,,,,,,,,,75,College,Black,Male,$40-75k,always
